Steps,Policy/Entropy,Environment/Episode Length,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
10000,2.5310109,35.13718411552347,4.2047772,-0.9415753661938335,-0.9415753661938335,1.0
20000,2.5395095,34.875,4.5917726,-0.93496917225554,-0.93496917225554,1.0
30000,2.530902,34.78776978417266,3.1315844,-0.9350802816156846,-0.9350802816156846,1.0
40000,2.5291183,33.153583617747444,3.2761123,-0.9536054667352409,-0.9536054667352409,1.0
50000,2.5660613,39.024,1.8120656,-0.9095312030911445,-0.9095312030911445,1.0
60000,2.5383925,44.217194570135746,1.296629,-0.8478868730467369,-0.8478868730467369,1.0
70000,2.556166,43.413333333333334,1.3407571,-0.8615831106238895,-0.8615831106238895,1.0
80000,2.5385602,46.58293838862559,1.1381376,-0.8247090004631693,-0.8247090004631693,1.0
90000,2.5465171,50.597938144329895,0.61257523,-0.7753834962537608,-0.7753834962537608,1.0
100000,2.5260913,47.770731707317076,0.44551533,-0.8215785420522457,-0.8215785420522457,1.0
110000,2.5302935,49.07035175879397,0.342793,-0.8086391952469121,-0.8086391952469121,1.0
120000,2.5485075,52.82608695652174,0.33083597,-0.7507632342544762,-0.7507632342544762,1.0
130000,2.5366096,49.97969543147208,0.30110624,-0.778997963303842,-0.778997963303842,1.0
140000,2.513353,52.12765957446808,0.22835618,-0.757546806430563,-0.757546806430563,1.0
150000,2.5137699,54.56111111111111,0.18261538,-0.7107155430648062,-0.7107155430648062,1.0
160000,2.501818,55.69318181818182,0.082417384,-0.7069522587751801,-0.7069522587751801,1.0
170000,2.5094702,57.093023255813954,0.029827239,-0.7058755699978319,-0.7058755699978319,1.0
180000,2.4837418,56.46551724137931,-0.039605994,-0.7008884925951903,-0.7008884925951903,1.0
190000,2.4881237,56.310344827586206,-0.063942105,-0.7135257104464939,-0.7135257104464939,1.0
200000,2.4690938,58.03529411764706,-0.07035465,-0.6912540940677419,-0.6912540940677419,1.0
210000,2.44669,61.3875,-0.15632813,-0.6398787323385478,-0.6398787323385478,1.0
220000,2.4371095,60.611111111111114,-0.19066189,-0.6542024544359725,-0.6542024544359725,1.0
230000,2.4499726,66.46979865771812,-0.22280417,-0.5800348678291244,-0.5800348678291244,1.0
240000,2.418883,67.21917808219177,-0.3440844,-0.578320517115397,-0.578320517115397,1.0
250000,2.4099221,68.54861111111111,-0.3448889,-0.5830055181350973,-0.5830055181350973,1.0
260000,2.4179695,66.45205479452055,-0.31687656,-0.5809465403834434,-0.5809465403834434,1.0
270000,2.4232998,69.24137931034483,-0.31541833,-0.5350082436512257,-0.5350082436512257,1.0
280000,2.3730557,70.02158273381295,-0.3284485,-0.5169985377362796,-0.5169985377362796,1.0
290000,2.3409956,73.95522388059702,-0.3732628,-0.526241742630503,-0.526241742630503,1.0
300000,2.368158,75.30232558139535,-0.36248043,-0.4595580851846887,-0.4595580851846887,1.0
310000,2.3857136,74.03676470588235,-0.36509806,-0.471433770021095,-0.471433770021095,1.0
320000,2.387695,80.825,-0.41567364,-0.36934993614753087,-0.36934993614753087,1.0
330000,2.3604028,81.33333333333333,-0.41478825,-0.3786129399043758,-0.3786129399043758,1.0
340000,2.3468564,90.91509433962264,-0.40284428,-0.21165176839740188,-0.21165176839740188,1.0
350000,2.3577077,101.78571428571429,-0.37161282,-0.08176277562515023,-0.08176277562515023,1.0
360000,2.3061018,96.83333333333333,-0.32231653,-0.14645479444195242,-0.14645479444195242,1.0
370000,2.3077145,99.23404255319149,-0.2857154,-0.09462140644750287,-0.09462140644750287,1.0
380000,2.2709181,107.26595744680851,-0.2257072,0.03313969929392139,0.03313969929392139,1.0
